AutoID,Naam,Omschrijving,Model status,Model actueel?,ObjectID,Objectnaam,Object actueel?
MDL-3136,OWRB-05174-ROC-DMO-W66-000001,HW-BT-R1O - Volkstuintjes Papenhof & Zone opgravingen Papenhof,Nieuw,Ja,Obj-05832,Volkstuintjes Papenhof,Ja
MDL-3136,OWRB-05174-ROC-DMO-W66-000001,HW-BT-R1O - Volkstuintjes Papenhof & Zone opgravingen Papenhof,Nieuw,Ja,Obj-05174,Zone Groot Schijn Parkstrook (Deurne),Ja
MDL-3136,OWRB-05174-ROC-DMO-W66-000001,HW-BT-R1O - Volkstuintjes Papenhof & Zone opgravingen Papenhof,Nieuw,Ja,Obj-05586,Zone opgravingen Papenhof,Ja
MDL-3135,OWRB-05174-ROC-BMO-W66-000001,HW-BT-R1O - Volkstuintjes Papenhof & Zone opgravingen Papenhof,Nieuw,Ja,Obj-05832,Volkstuintjes Papenhof,Ja
MDL-3135,OWRB-05174-ROC-BMO-W66-000001,HW-BT-R1O - Volkstuintjes Papenhof & Zone opgravingen Papenhof,Nieuw,Ja,Obj-05174,Zone Groot Schijn Parkstrook (Deurne),Ja
MDL-3135,OWRB-05174-ROC-BMO-W66-000001,HW-BT-R1O - Volkstuintjes Papenhof & Zone opgravingen Papenhof,Nieuw,Ja,Obj-05586,Zone opgravingen Papenhof,Ja
MDL-3134,OWRB-05227-ROC-DMO-W66-000001,HW-BT-R1O - Gebouw Aldi Slachthuislaan & Gebouw Drankenhandel en autohandel Slachthuislaan,Nieuw,Ja,Obj-05829,Gebouw Aldi Slachthuislaan,Ja
MDL-3134,OWRB-05227-ROC-DMO-W66-000001,HW-BT-R1O - Gebouw Aldi Slachthuislaan & Gebouw Drankenhandel en autohandel Slachthuislaan,Nieuw,Ja,Obj-05830,Gebouw Drankenhandel en autohandel Slachthuislaan,Ja
MDL-3134,OWRB-05227-ROC-DMO-W66-000001,HW-BT-R1O - Gebouw Aldi Slachthuislaan & Gebouw Drankenhandel en autohandel Slachthuislaan,Nieuw,Ja,Obj-05227,Zone Bedrijven Slachthhuislaan (Den Dam),Ja
MDL-3133,OWRB-05227-ROC-BMO-W66-000001,HW-BT-R1O - Gebouw Aldi Slachthuislaan & Gebouw Drankenhandel en autohandel Slachthuislaan,Nieuw,Ja,Obj-05829,Gebouw Aldi Slachthuislaan,Ja
MDL-3133,OWRB-05227-ROC-BMO-W66-000001,HW-BT-R1O - Gebouw Aldi Slachthuislaan & Gebouw Drankenhandel en autohandel Slachthuislaan,Nieuw,Ja,Obj-05830,Gebouw Drankenhandel en autohandel Slachthuislaan,Ja
MDL-3133,OWRB-05227-ROC-BMO-W66-000001,HW-BT-R1O - Gebouw Aldi Slachthuislaan & Gebouw Drankenhandel en autohandel Slachthuislaan,Nieuw,Ja,Obj-05227,Zone Bedrijven Slachthhuislaan (Den Dam),Ja
MDL-3125,OWRB-05226-ROC-DMO-W28-000003,R1O-DTM-BT-255kPa_base-Lobroekdok,Nieuw,Ja,,,
MDL-3124,OWRB-05226-ROC-BMO-W28-000003,R1O-DTM-BT-255kPa_base-Lobroekdok,Nieuw,Ja,Obj-05226,Lobroekdok,Ja
MDL-3123,OWRB-05226-ROC-DMO-W28-000002,R1O-DTM-BT-Soft_base-Lobroekdok,Nieuw,Ja,,,
MDL-3122,OWRB-05226-ROC-BMO-W28-000002,R1O-DTM-BT-Soft_base-Lobroekdok,Nieuw,Ja,Obj-05226,Lobroekdok,Ja
MDL-3121,OWRB-05226-ROC-DMO-W28-000001,R1O-DTM-BT-Seabed_base-Lobroekdok,Nieuw,Ja,,,
MDL-3119,OWRB-05226-ROC-BMO-W28-000001.pts,R1O-DTM-BT-Seabed_base-Lobroekdok,Nieuw,Ja,Obj-05226,Lobroekdok,Ja
MDL-3104,OWRB-02687-ROC-DMO-W66-000001,R1O-HW-BT-Nieuwe inlaat grofrooster Schijnkoker,Nieuw,Ja,Obj-02687,Lozingspunt 15  - Groot Schijn (voor tijdelijke R1 Oost),Ja
MDL-3103,OWRB-02687-ROC-BMO-W66-000001,R1O-HW-BT-Nieuwe inlaat grofrooster Schijnkoker,Nieuw,Ja,Obj-02687,Lozingspunt 15  - Groot Schijn (voor tijdelijke R1 Oost),Ja
MDL-3100,OWRB-05586-ROC-DMO-W32-000001,R1O-DET-BT - Archeologische opzoekingen Papenhof 2023,Nieuw,Ja,,,
MDL-3099,OWRB-05586-ROC-BMO-W32-000001,R1O-DET-BT - Archeologische opzoekingen Papenhof 2023,Nieuw,Ja,,,
MDL-3078,OWRB-05825-ROC-XRF-W32-000002,R1O-WEG-BT BT (light) R1O(Z),Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3077,OWRB-05825-ROC-XRF-W32-000001,R1O-WEG-BT BT (light) R1O(N),Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3016,OWRB-07919-ROC-DMO-W66-000001,"R1O-HW-BT-Holcim (obj.05591), Levanto (obj.05592) Gommaire (obj.05593) en Rental (obj.05594)",Nieuw,Ja,,,
MDL-3006,OWRB-06656-ROC-DMO-W69-000001,Wegriolering Schijnpoortweg oost,Nieuw,Ja,,,
MDL-3005,OWRB-06656-ROC-BMO-W69-000001,Wegriolering Schijnpoortweg oost,Nieuw,Ja,Obj-06656,Wegrioleringsstelsel Schijnpoortweg-oost,Ja
MDL-2999,OWRB-05825-ROC-XRE-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase4,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2996,OWRB-05825-ROC-XRD-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase3,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2992,OWRB-05825-ROC-XRC-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase2,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2991,OWRB-05825-ROC-XRB-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase1,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2990,OWRB-05825-ROC-XRA-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase0,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2989,OWRB-05825-ROC-DMO-W59-000001,R1O-WEG-TIJ-Tijdelijke oprit Noordersingel,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2988,OWRB-05825-ROC-BMO-W59-000001,R1O-WEG-TIJ-TO Noordersingel,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2987,OWRB-04042-ROC-QMO-W66-000001,R1O-HW-OT_Tunnelconstructie Schijnpoort,Nieuw,Ja,Obj-04042,Tunnelconstructie Schijnpoort,Ja
MDL-2986,OWRB-04042-ROC-DMO-W66-000001,R1O-HW-OT_Tunnelconstructie Schijnpoort,Nieuw,Ja,Obj-04042,Tunnelconstructie Schijnpoort,Ja
MDL-2985,OWRB-04042-ROC-BMO-W66-000001,R1O-HW-OT_Tunnelconstructie Schijnpoort,Nieuw,Ja,Obj-04042,Tunnelconstructie Schijnpoort,Ja
MDL-2928,OWRB-05596-ROC-DMO-W66-000001,R1O-HW-BT - Residentie Rivierenhof,Nieuw,Ja,Obj-05596,Residentie Rivierenhof,Ja
MDL-2927,OWRB-05596-ROC-BMO-W66-000001,R1O-HW-BT - Residentie Rivierenhof,Nieuw,Ja,Obj-05596,Residentie Rivierenhof,Ja
MDL-2895,OWRB-05825-LAN-DMO-W59-000001,R1O-WEG OT-MARK,Nieuw,Ja,,,
MDL-2894,OWRB-05825-LAN-BMO-W59-000001,R1O-WEG OT-MARK,Nieuw,Ja,,,
MDL-2885,OWRB-05825-LAN-DMO-W67-000001,R1O-PVBR-OT,Nieuw,Ja,,,
MDL-2884,OWRB-05825-LAN-BMO-W67-000001,R1O-PVBR-OT,Nieuw,Ja,,,
MDL-2871,OWRB-02869-ROC-DMO-W27-000001,R1O-NT-BT-Aansluitingen Leidingenkoker Schijnpoort,Nieuw,Ja,,,
MDL-2870,OWRB-02869-ROC-BMO-W27-000001,R1O-NT-BT-Aansluitingen Leidingenkoker Schijnpoort,Vervallen,Ja,Obj-02869,K0467 - K&L leidingkoker Schijnpoortweg,Ja
MDL-2869,OWRB-02854-ROC-DMO-W27-000001,R1N-NT-BT- Aansluitingen Leidingenkoker Groenendaallaan,Nieuw,Ja,,,
